Root,ChordType,Index,String1,String2,String3,String4,String5,String6,NumStrings
A,Minor,980,5.0,7.0,7.0,5.0,10.0,8.0,6
A,Minor,981,5.0,7.0,10.0,2.0,10.0,8.0,6
A,Minor,982,0.0,0.0,2.0,2.0,1.0,5.0,6
A,Minor,983,0.0,0.0,7.0,5.0,5.0,5.0,6
A,Minor,984,0.0,0.0,7.0,5.0,10.0,0.0,6
A,Minor,985,0.0,0.0,7.0,9.0,1.0,5.0,6
A,Minor,986,0.0,0.0,10.0,2.0,5.0,5.0,6
A,Minor,987,0.0,0.0,10.0,2.0,10.0,0.0,6
A,Minor,988,5.0,7.0,7.0,5.0,5.0,5.0,6
A,Minor,989,5.0,7.0,7.0,5.0,10.0,0.0,6
A,Minor,990,5.0,7.0,7.0,9.0,1.0,5.0,6
A,Minor,991,5.0,7.0,10.0,2.0,5.0,5.0,6
A,Minor,992,5.0,7.0,10.0,2.0,10.0,0.0,6
A,Minor,993,0.0,0.0,2.0,2.0,10.0,8.0,6
A,Minor,994,0.0,0.0,7.0,9.0,10.0,8.0,6
A,Minor,995,5.0,7.0,7.0,9.0,10.0,8.0,6
A,Minor,996,5.0,3.0,2.0,2.0,1.0,8.0,6
A,Minor,997,8.0,0.0,2.0,2.0,1.0,8.0,6
A,Minor,998,5.0,3.0,7.0,5.0,5.0,8.0,6
A,Minor,999,5.0,3.0,7.0,9.0,1.0,8.0,6
A,Minor,1000,5.0,3.0,10.0,2.0,5.0,8.0,6
A,Minor,1001,8.0,0.0,7.0,5.0,5.0,8.0,6
A,Minor,1002,8.0,0.0,7.0,9.0,1.0,8.0,6
A,Minor,1003,8.0,0.0,10.0,2.0,5.0,8.0,6
A,Minor,1004,5.0,3.0,2.0,2.0,1.0,0.0,6
A,Minor,1005,8.0,0.0,2.0,2.0,1.0,0.0,6
A,Minor,1006,5.0,3.0,2.0,2.0,5.0,8.0,6
A,Minor,1007,8.0,0.0,2.0,2.0,5.0,8.0,6
A,Minor,1008,0.0,0.0,2.0,2.0,1.0,8.0,6
A,Minor,1009,0.0,0.0,7.0,5.0,5.0,8.0,6
A,Minor,1010,0.0,0.0,7.0,9.0,1.0,8.0,6
A,Minor,1011,0.0,0.0,10.0,2.0,5.0,8.0,6
A,Minor,1012,5.0,7.0,7.0,5.0,5.0,8.0,6
A,Minor,1013,5.0,7.0,7.0,9.0,1.0,8.0,6
A,Minor,1014,5.0,7.0,10.0,2.0,5.0,8.0,6
A,Minor,1015,0.0,0.0,2.0,2.0,1.0,0.0,6
A,Minor,1016,0.0,0.0,2.0,2.0,5.0,8.0,6
A,Minor,1017,5.0,3.0,2.0,5.0,10.0,8.0,6
A,Minor,1018,8.0,0.0,2.0,5.0,10.0,8.0,6
A,Minor,1019,5.0,3.0,10.0,9.0,10.0,8.0,6
A,Minor,1020,8.0,0.0,10.0,9.0,10.0,8.0,6
A,Minor,1021,5.0,3.0,2.0,5.0,5.0,5.0,6
A,Minor,1022,5.0,3.0,2.0,5.0,10.0,0.0,6
A,Minor,1023,5.0,3.0,2.0,9.0,1.0,5.0,6
A,Minor,1024,8.0,0.0,2.0,5.0,5.0,5.0,6
A,Minor,1025,8.0,0.0,2.0,5.0,10.0,0.0,6
A,Minor,1026,8.0,0.0,2.0,9.0,1.0,5.0,6
A,Minor,1027,5.0,3.0,2.0,9.0,10.0,8.0,6
A,Minor,1028,8.0,0.0,2.0,9.0,10.0,8.0,6
A,Minor,1029,0.0,0.0,2.0,5.0,10.0,8.0,6
A,Minor,1030,0.0,0.0,10.0,9.0,10.0,8.0,6
A,Minor,1031,5.0,7.0,10.0,9.0,10.0,8.0,6
A,Minor,1032,0.0,0.0,2.0,5.0,5.0,5.0,6
A,Minor,1033,0.0,0.0,2.0,5.0,10.0,0.0,6
A,Minor,1034,0.0,0.0,2.0,9.0,1.0,5.0,6
A,Minor,1035,0.0,0.0,2.0,9.0,10.0,8.0,6
A,Minor,1036,5.0,3.0,2.0,5.0,5.0,8.0,6
A,Minor,1037,5.0,3.0,2.0,9.0,1.0,8.0,6
A,Minor,1038,8.0,0.0,2.0,5.0,5.0,8.0,6
A,Minor,1039,8.0,0.0,2.0,9.0,1.0,8.0,6
A,Minor,1040,0.0,0.0,2.0,5.0,5.0,8.0,6
A,Minor,1041,0.0,0.0,2.0,9.0,1.0,8.0,6
A,Minor,1042,0.0,3.0,7.0,5.0,10.0,8.0,6
A,Minor,1043,0.0,3.0,10.0,2.0,10.0,8.0,6
A,Minor,1044,8.0,7.0,7.0,5.0,10.0,8.0,6
A,Minor,1045,8.0,7.0,10.0,2.0,10.0,8.0,6
A,Minor,1046,0.0,3.0,2.0,2.0,1.0,5.0,6
A,Minor,1047,0.0,3.0,7.0,5.0,5.0,5.0,6
A,Minor,1048,0.0,3.0,7.0,5.0,10.0,0.0,6
A,Minor,1049,0.0,3.0,7.0,9.0,1.0,5.0,6
A,Minor,1050,0.0,3.0,10.0,2.0,5.0,5.0,6
A,Minor,1051,0.0,3.0,10.0,2.0,10.0,0.0,6
A,Minor,1052,8.0,7.0,7.0,5.0,5.0,5.0,6
A,Minor,1053,8.0,7.0,7.0,5.0,10.0,0.0,6
A,Minor,1054,8.0,7.0,7.0,9.0,1.0,5.0,6
A,Minor,1055,8.0,7.0,10.0,2.0,5.0,5.0,6
A,Minor,1056,8.0,7.0,10.0,2.0,10.0,0.0,6
A,Minor,1057,0.0,3.0,2.0,2.0,10.0,8.0,6
A,Minor,1058,0.0,3.0,7.0,9.0,10.0,8.0,6
A,Minor,1059,8.0,7.0,7.0,9.0,10.0,8.0,6
A,Minor,1060,0.0,3.0,2.0,2.0,5.0,5.0,6
A,Minor,1061,0.0,3.0,2.0,2.0,10.0,0.0,6
A,Minor,1062,0.0,7.0,7.0,5.0,10.0,8.0,6
A,Minor,1063,0.0,7.0,10.0,2.0,10.0,8.0,6
A,Minor,1064,0.0,7.0,7.0,5.0,5.0,5.0,6
A,Minor,1065,0.0,7.0,7.0,5.0,10.0,0.0,6
A,Minor,1066,0.0,7.0,7.0,9.0,1.0,5.0,6
A,Minor,1067,0.0,7.0,10.0,2.0,5.0,5.0,6
A,Minor,1068,0.0,7.0,10.0,2.0,10.0,0.0,6
A,Minor,1069,0.0,7.0,7.0,9.0,10.0,8.0,6
A,Minor,1070,0.0,3.0,2.0,2.0,1.0,8.0,6
A,Minor,1071,0.0,3.0,7.0,5.0,5.0,8.0,6
A,Minor,1072,0.0,3.0,7.0,9.0,1.0,8.0,6
A,Minor,1073,0.0,3.0,10.0,2.0,5.0,8.0,6
A,Minor,1074,8.0,7.0,7.0,5.0,5.0,8.0,6
A,Minor,1075,8.0,7.0,7.0,9.0,1.0,8.0,6
A,Minor,1076,8.0,7.0,10.0,2.0,5.0,8.0,6
A,Minor,1077,0.0,3.0,2.0,2.0,1.0,0.0,6
A,Minor,1078,0.0,3.0,2.0,2.0,5.0,8.0,6
A,Minor,1079,0.0,7.0,7.0,5.0,5.0,8.0,6
A,Minor,1080,0.0,7.0,7.0,9.0,1.0,8.0,6
A,Minor,1081,0.0,7.0,10.0,2.0,5.0,8.0,6
A,Minor,1082,0.0,3.0,2.0,5.0,10.0,8.0,6
A,Minor,1083,0.0,3.0,10.0,9.0,10.0,8.0,6
A,Minor,1084,8.0,7.0,10.0,9.0,10.0,8.0,6
A,Minor,1085,0.0,3.0,2.0,5.0,5.0,5.0,6
A,Minor,1086,0.0,3.0,2.0,5.0,10.0,0.0,6
A,Minor,1087,0.0,3.0,2.0,9.0,1.0,5.0,6
A,Minor,1088,0.0,3.0,2.0,9.0,10.0,8.0,6
A,Minor,1089,0.0,7.0,10.0,9.0,10.0,8.0,6
A,Dom7,1170,5.0,4.0,2.0,2.0,8.0,5.0,6
A,Dom7,1171,5.0,4.0,2.0,2.0,10.0,3.0,6
A,Dom7,1172,9.0,0.0,2.0,2.0,8.0,5.0,6
A,Dom7,1173,9.0,0.0,2.0,2.0,10.0,3.0,6
A,Dom7,1174,5.0,4.0,5.0,2.0,5.0,5.0,6
A,Dom7,1175,5.0,4.0,5.0,2.0,10.0,0.0,6
A,Dom7,1176,5.0,4.0,7.0,0.0,5.0,5.0,6
A,Dom7,1177,5.0,4.0,7.0,0.0,10.0,0.0,6
A,Dom7,1178,9.0,0.0,5.0,2.0,5.0,5.0,6
